sample,parameter,value
05-18868,particle density,1.0933000000000002
05-18868,bulk density,31.85
05-18869,bulk density,32.47
05-18869,particle density,1.0933000000000002
05-18870,particle density,1.0929
05-18870,bulk density,34.34
05-18871,bulk density,33.09
05-18871,particle density,1.0935000000000001
05-18968,particle density,1.1002
05-18968,bulk density,34.0
05-18969,bulk density,35.0
05-18969,particle density,1.0984
05-18970,bulk density,34.0
05-18970,particle density,1.0987
05-18971,particle density,1.0967
05-18971,bulk density,34.0
05-19298,particle density,1.0941
05-19298,bulk density,34.34
05-19661,bulk density,33.09
05-19661,particle density,1.099
05-19662,bulk density,34.34
05-19662,particle density,1.0995
05-19663,particle density,1.0987
05-19663,bulk density,34.34
05-19664,particle density,1.1003
05-19664,bulk density,33.04
05-19665,bulk density,32.47
05-19665,particle density,1.1037
05-19666,bulk density,33.72
05-19666,particle density,1.1007
05-19719,particle density,1.101
05-19719,bulk density,26.5
05-19720,bulk density,30.4
05-19720,particle density,1.0948
05-19751,particle density,1.0979999999999999
05-19751,bulk density,33.72
05-20192,particle density,1.0926
05-20192,bulk density,41.0
05-20938,particle density,1.0993
05-20938,bulk density,32.8
05-20939,particle density,1.0979
05-20939,bulk density,34.2
05-20940,bulk density,34.2
05-20940,particle density,1.0997
05-21536,bulk density,28.0
05-21536,particle density,1.0704
05-21537,bulk density,28.0
05-21537,particle density,1.0703
05-21538,particle density,1.072
05-21538,bulk density,29.0
05-21539,particle density,1.072
05-21539,bulk density,28.0
05-21540,particle density,1.0735000000000001
05-21540,bulk density,29.0
05-21541,particle density,1.0735999999999999
05-21541,bulk density,29.0
05-21542,bulk density,32.0
05-21542,particle density,1.071
05-21543,particle density,1.0692
05-21543,bulk density,30.0
05-22982,bulk density,28.0
05-22982,particle density,1.0708
05-22983,bulk density,28.0
05-22983,particle density,1.0701
05-22984,particle density,1.071
05-22984,bulk density,29.0
05-22985,bulk density,28.0
05-22985,particle density,1.0709
05-22986,bulk density,29.0
05-22986,particle density,1.071
05-22987,bulk density,29.0
05-22987,particle density,1.071
05-22988,bulk density,29.0
05-22988,particle density,1.0711
05-22989,particle density,1.0711
05-22989,bulk density,30.0
05-22990,particle density,1.071
05-22990,bulk density,30.0
05-22991,particle density,1.0708
05-22991,bulk density,29.0
05-23922,particle density,1.0712000000000002
05-23922,bulk density,26.0
05-23923,bulk density,26.0
05-23923,particle density,1.1117
05-23924,particle density,1.1117
05-23924,bulk density,28.0
05-23925,particle density,1.112
05-23925,bulk density,31.0
05-23926,particle density,1.1127
05-23926,bulk density,31.0
05-23927,bulk density,26.0
05-23927,particle density,1.111
05-23928,particle density,1.1155
05-23928,bulk density,30.0
05-23929,particle density,1.1116000000000001
05-23929,bulk density,27.0
05-24066,bulk density,29.0
05-24066,particle density,1.0894
05-24067,bulk density,28.0
05-24067,particle density,1.0908
05-24480,particle density,1.084
05-24480,bulk density,38.0
05-24481,bulk density,37.0
05-24481,particle density,1.0831
05-24728,particle density,1.1122
05-24728,bulk density,30.0
05-24729,bulk density,24.0
05-24729,particle density,1.1059
05-24730,particle density,1.1101999999999999
05-24730,bulk density,27.0
05-24731,bulk density,26.0
05-24731,particle density,1.1107
05-24732,particle density,1.1125
05-24732,bulk density,28.0
05-24733,bulk density,30.0
05-24733,particle density,1.1135000000000002
05-25909,particle density,1.0971
05-25909,bulk density,40.7
05-25910,particle density,1.0814
05-25910,bulk density,39.6
05-26204,bulk density,32.9
05-26204,particle density,1.0985
05-26205,particle density,1.0988
05-26205,bulk density,32.8
05-26206,bulk density,34.0
05-26206,particle density,1.0983
05-26207,bulk density,32.9
05-26207,particle density,1.0984
05-26208,bulk density,32.9
05-26208,particle density,1.0995
06-00455,bulk density,36.4
06-00455,particle density,1.1120999999999999
06-00456,bulk density,31.8
06-00456,particle density,1.1137000000000001
06-00457,bulk density,30.8
06-00457,particle density,1.113
06-00458,particle density,1.1122999999999998
06-00458,bulk density,28.4
06-00459,bulk density,29.2
06-00459,particle density,1.1124
06-00460,particle density,1.1120999999999999
06-00460,bulk density,28.7
06-00461,bulk density,28.9
06-00461,particle density,1.1118999999999999
06-00462,particle density,1.1108
06-00462,bulk density,28.9
06-00463,bulk density,29.3
06-00463,particle density,1.1105
06-00464,bulk density,29.8
06-00464,particle density,1.1116000000000001
06-00465,particle density,1.1122999999999998
06-00465,bulk density,27.6
06-01126,particle density,1.1126
06-01126,bulk density,27.6
06-01765,bulk density,28.3
06-01765,particle density,1.0708
06-01766,bulk density,31.7
06-01766,particle density,1.0715
06-01767,particle density,1.0695999999999999
06-01767,bulk density,27.8
06-01768,bulk density,26.9
06-01768,particle density,1.0681
06-02105,particle density,1.0936
06-02105,bulk density,35.6
06-03407,particle density,1.0979
06-03407,bulk density,35.0
06-03408,particle density,1.0979
06-03408,bulk density,34.0
06-05656,particle density,1.0819999999999999
06-05656,bulk density,37.6
06-06234,particle density,1.0976
06-06234,bulk density,34.5
06-06235,particle density,1.0992
06-06235,bulk density,34.3
06-06236,particle density,1.0988
06-06236,bulk density,34.7
06-06237,particle density,1.0974
06-06237,bulk density,32.8
06-06238,particle density,1.0963
06-06238,bulk density,32.2
06-06359,particle density,1.0985
06-06359,bulk density,33.6
06-06360,particle density,1.0993
06-06360,bulk density,32.6
06-06361,particle density,1.0993
06-06361,bulk density,32.5
06-06362,bulk density,33.1
06-06362,particle density,1.0989
06-06363,bulk density,32.3
06-06363,particle density,1.0984
06-06575,particle density,1.0859
06-06575,bulk density,28.72
06-06854,bulk density,31.8
06-06854,particle density,1.0991
06-06855,particle density,1.0965
06-06855,bulk density,33.25
06-06856,bulk density,34.2
06-06856,particle density,1.0962
06-06857,bulk density,34.8
06-06857,particle density,1.0979999999999999
06-07330,bulk density,34.2
06-07330,particle density,1.0992
06-07331,particle density,1.099
06-07331,bulk density,34.7
06-07332,bulk density,36.2
