,massflow,pressure,temperature,ambient_temperature
2022-04-04 13:42:00,0.00023908164,9.927957,22.04599,21.426361
2022-04-04 13:43:00,-3.653236e-06,-21.06141,20.855865,21.279419
2022-04-04 13:44:00,-0.00037474607,24.35059,21.446869,21.85553
2022-04-04 13:45:00,-0.00023059308,12.803177,21.75534,22.819733
2022-04-04 13:46:00,0.00022281587,40.025185,21.622192,21.540253
2022-04-04 13:47:00,0.000409708,7.340951,20.758057,21.338806
2022-04-04 13:48:00,0.00011561297,-13.722032,21.143524,21.75351
2022-04-04 13:49:00,0.00037280854,-6.5377655,21.462585,21.708038
2022-04-04 13:50:00,-0.00081258814,5.1710367,20.594513,20.15393
2022-04-04 13:51:00,-2.6214451e-05,7.435229,21.34961,21.139587
2022-04-04 13:52:00,0.00026307028,14.655072,21.35559,20.793274
2022-04-04 13:53:00,-0.0001444891,-5.936881,21.32248,21.095398
2022-04-04 13:54:00,-0.00037748745,-6.9593067,20.47644,20.649384
2022-04-04 13:55:00,0.00015362375,-3.2677982,20.536743,20.833557
2022-04-04 13:56:00,-1.2707604e-06,-1.0765889,21.217316,20.9357
2022-04-04 13:57:00,-0.00037988884,0.5489928,20.94217,20.667908
2022-04-04 13:58:00,-0.00045010317,-3.20768,21.362244,20.741577
2022-04-04 13:59:00,4.893226e-05,4.062299,21.611267,20.863434
2022-04-04 14:00:00,1.1573396e-05,-21.2733,21.350555,21.439087
2022-04-04 14:01:00,0.00015699724,1.6897777,21.319733,21.89682
2022-04-04 14:02:00,4.5188077e-05,2.6502256,21.869537,20.869629
2022-04-04 14:03:00,-0.00028098415,-3.228802,20.853638,21.501556
2022-04-04 14:04:00,-0.00017803189,-16.80065,21.655518,20.679169
2022-04-04 14:05:00,-0.00025049565,18.264551,20.16446,21.52594
2022-04-04 14:06:00,0.00057290774,-12.9580345,20.814392,21.421814
2022-04-04 14:07:00,0.0003483071,-2.198503,20.628357,21.03772
2022-04-04 14:08:00,-0.00013006206,-8.495287,20.71167,20.568207
2022-04-04 14:09:00,0.00040659306,-11.210873,20.486633,20.669342
2022-04-04 14:10:00,0.0008055752,1.5153683,20.662903,20.864716
2022-04-04 14:11:00,-0.00024050733,14.544544,21.710602,20.550934
2022-04-04 14:12:00,0.00017186523,-5.6544604,21.480225,19.920746
2022-04-04 14:13:00,-0.00043384734,4.0986295,20.02002,20.965302
2022-04-04 14:14:00,0.00024198294,7.3718343,19.703735,21.408539
2022-04-04 14:15:00,0.00029891692,16.641235,20.963959,20.66037
2022-04-04 14:16:00,-0.00058276014,28.472643,21.117615,20.366272
2022-04-04 14:17:00,0.00031449413,-0.34310573,20.461548,19.97702
2022-04-04 14:18:00,-0.0004853689,2.2193396,20.665283,20.888306
2022-04-04 14:19:00,-0.00031864113,-8.89491,21.170929,21.374664
2022-04-04 14:20:00,4.578467e-05,11.90051,21.150696,20.646149
2022-04-04 14:21:00,4.637531e-05,17.53204,20.920166,20.444977
2022-04-04 14:22:00,0.00030142066,7.2021537,21.098236,20.888733
2022-04-04 14:23:00,0.0007031595,6.2914534,20.798615,20.610382
2022-04-04 14:24:00,-0.00032896054,-16.604946,19.956024,21.016785
2022-04-04 14:25:00,0.00015547553,-0.6024421,20.92862,20.624084
2022-04-04 14:26:00,-7.6127464e-05,5.838771,19.702026,21.757202
2022-04-04 14:27:00,-0.00013535307,-18.452442,21.071564,20.339111
2022-04-04 14:28:00,0.017201355,16.782265,30.25998,21.536102
2022-04-04 14:29:00,0.017426193,80.07269,33.441467,21.632782
2022-04-04 14:30:00,0.017280448,103.01893,36.04944,20.776154
2022-04-04 14:31:00,0.017899541,150.45477,35.942352,19.635284
2022-04-04 14:32:00,0.018175513,205.57889,36.865326,19.857452
2022-04-04 14:33:00,0.017807195,196.40169,36.929626,20.177765
2022-04-04 14:34:00,0.018185249,222.30843,36.997864,20.180756
2022-04-04 14:35:00,0.017453117,271.57916,35.93512,21.582794
2022-04-04 14:36:00,0.017812304,306.74216,36.286255,21.396881
2022-04-04 14:37:00,0.017058523,329.1152,36.48526,20.91864
2022-04-04 14:38:00,0.017777035,363.68634,36.426178,20.996246
2022-04-04 14:39:00,0.018693676,386.0027,36.730286,20.093048
2022-04-04 14:40:00,0.01744345,411.18356,36.686096,20.55194
2022-04-04 14:41:00,0.017927112,465.0157,34.811707,20.178741
2022-04-04 14:42:00,0.017819472,491.62943,35.65851,21.21701
2022-04-04 14:43:00,0.017167972,534.6567,35.95456,20.285645
2022-04-04 14:44:00,0.017334338,546.45984,35.898773,21.377136
2022-04-04 14:45:00,0.017020468,591.51953,35.450897,20.223907
2022-04-04 14:46:00,0.016869234,638.83795,35.90213,20.945099
2022-04-04 14:47:00,0.01703858,685.1367,35.72885,20.849731
2022-04-04 14:48:00,0.017383408,723.8305,35.1976,20.34259
2022-04-04 14:49:00,0.017522873,729.02045,34.662018,20.47293
2022-04-04 14:50:00,0.017232686,722.3866,35.316223,20.947662
2022-04-04 14:51:00,0.01807468,803.70276,34.980713,19.951569
2022-04-04 14:52:00,0.017926617,827.46136,35.58792,20.726929
2022-04-04 14:53:00,0.017556196,856.55,33.928833,21.094757
2022-04-04 14:54:00,0.017808376,889.8976,34.3573,20.998047
2022-04-04 14:55:00,0.018047195,923.97736,34.17459,21.103394
2022-04-04 14:56:00,0.018017467,956.3453,34.229065,20.44754
2022-04-04 14:57:00,0.017171545,992.88806,33.98172,21.17212
2022-04-04 14:58:00,0.018315932,1014.88995,34.85312,21.331879
2022-04-04 14:59:00,0.01813382,1028.2838,34.65631,21.12619
2022-04-04 15:00:00,0.017228782,1092.1758,33.631653,21.661774
2022-04-04 15:01:00,-0.00027836292,1045.5176,33.528687,20.599548
2022-04-04 15:02:00,-2.5602812e-05,1052.299,33.009613,20.261261
2022-04-04 15:03:00,2.9088918e-05,1077.2516,32.80606,20.348755
2022-04-04 15:04:00,0.00057050795,1065.3357,31.979004,21.154297
2022-04-04 15:05:00,-9.122248e-05,1083.9213,32.1644,20.122986
2022-04-04 15:06:00,6.0588154e-05,1094.9713,32.19278,21.342865
2022-04-04 15:07:00,8.099148e-06,1066.3988,32.90674,21.211212
2022-04-04 15:08:00,0.00049623876,1076.91,31.965118,20.549652
2022-04-04 15:09:00,5.976883e-05,1067.1755,31.981354,21.767212
2022-04-04 15:10:00,0.00023927094,1056.9429,30.83075,21.75882
2022-04-04 15:11:00,9.8848825e-05,1058.7474,30.781189,21.365936
2022-04-04 15:12:00,-0.00035343124,1032.1238,31.380371,21.143066
2022-04-04 15:13:00,-0.00019427511,1062.8173,31.136566,20.905823
2022-04-04 15:14:00,0.0002941894,1038.4249,30.460999,21.582031
2022-04-04 15:15:00,0.00029126805,1035.7499,31.079346,21.339203
2022-04-04 15:16:00,-7.266046e-05,1024.4688,31.141083,21.40274
2022-04-04 15:17:00,0.00011663711,1033.3828,30.336761,21.636017
2022-04-04 15:18:00,2.5176507e-05,1035.8057,30.51883,21.460022
2022-04-04 15:19:00,-0.00012569425,1047.8569,29.462921,21.042175
2022-04-04 15:20:00,0.00036112574,1027.5563,29.780579,22.179657
2022-04-04 15:21:00,0.0005697033,1040.3987,29.912292,20.708923
